Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	115,56			-24	93,2225
				-26	73,0167
				-28	56,0733
				-30	42,2275
				-32	30,9717
				-34	22,2075
				-36	15,865
				-38	11,3725
				-40	8,005
				-42	5,47167
				-44	3,96167
				-46	2,88417
				-48	1,99167
				-50	1,505
				-52	1,2125
				-54	0,954167
				-56	0,825
				-58	0,76
				-60	0,668333
				-62	0,624167
				-64	0,59
				-66	0,555833
				-68	0,543333
				-70	0,580833
				-72	0,5225
				-74	0,590833
				-76	0,56
				-78	0,551667
				-80	0,565833
				-82	0,519167
				-84	0,575
				-86	0,576667
				-88	0,544167
				-90	0,56
				-92	0,546667
				-94	0,544167
				-96	0,585
				-98	0,5225
				-100	0,574167
				-102	0,565833
				-104	0,5675
				-106	0,555
				-108	0,57
				-110	0,6
				-112	0,578333
				-114	0,568333
				-116	0,573333
				-118	0,564167
				-120	0,5775
				-122	0,56
				-124	0,585
				-126	0,563333
				-128	0,565833
				-130	0,515833
				-132	0,549167
				-134	0,564167
				-136	0,580833
				-138	0,546667
				-140	0,566667
				-142	0,573333
				-144	0,565
				-146	0,573333
				-148	0,569167
				-150	0,5125
