Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	218,695			-24	196,556
				-26	173,927
				-28	151,508
				-30	129,26
				-32	108,257
				-34	90,4092
				-36	74,0617
				-38	60,7333
				-40	49,5708
				-42	42,0583
				-44	35,3808
				-46	30,1258
				-48	25,8092
				-50	22,3442
				-52	19,92
				-54	17,885
				-56	16,7117
				-58	15,34
				-60	14,6617
				-62	13,8592
				-64	13,34
				-66	12,8883
				-68	12,7842
				-70	12,6575
				-72	12,45
				-74	12,2775
				-76	12,3633
				-78	12,2442
				-80	12,165
				-82	12,2792
				-84	12,1883
				-86	12,2842
				-88	12,2525
				-90	12,345
				-92	12,2942
				-94	12,1425
				-96	12,0625
				-98	12,2283
				-100	12,3758
				-102	12,1625
				-104	12,2983
				-106	12,0558
				-108	12,1692
				-110	12,2775
				-112	12,0433
				-114	12,1608
				-116	12,2333
				-118	12,12
				-120	12,225
				-122	12,11
				-124	12,1925
				-126	12,0275
				-128	11,9733
				-130	11,9908
				-132	12,0033
				-134	12,0858
				-136	11,7858
				-138	11,9592
				-140	11,99
				-142	12,01
				-144	12,005
				-146	11,6775
				-148	11,8467
				-150	11,8583
