Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	152,033			-24	133,974
				-26	118,455
				-28	105,702
				-30	98,8283
				-32	89,5958
				-34	82,5675
				-36	77,1983
				-38	72,8958
				-40	70,0717
				-42	68,1142
				-44	66,5592
				-46	65,1442
				-48	64,0475
				-50	63,2842
				-52	62,9958
				-54	63,2
				-56	62,095
				-58	62,0375
				-60	61,8308
				-62	61,5042
				-64	61,5083
				-66	61,0108
				-68	61,025
				-70	61,0225
				-72	60,5667
				-74	60,575
				-76	60,1858
				-78	59,5542
				-80	59,5983
				-82	59,4183
				-84	59,0583
				-86	58,48
				-88	58,785
				-90	58,3142
				-92	57,6817
				-94	57,6408
				-96	56,5858
				-98	56,4483
				-100	56,3625
				-102	55,6325
				-104	55,1475
				-106	54,7775
				-108	54,3083
				-110	53,5925
				-112	53,1417
				-114	52,7592
				-116	51,9858
				-118	51,5117
				-120	50,4675
				-122	49,9092
				-124	49,3175
				-126	48,7458
				-128	48,2042
				-130	47,1625
				-132	46,1742
				-134	45,8025
				-136	44,9092
				-138	43,5192
				-140	43,0425
				-142	41,7783
				-144	40,9358
				-146	39,9583
				-148	38,9708
				-150	37,8608
