Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	234,702			-24	199,348
				-26	165,908
				-28	133,958
				-30	104,92
				-32	81,1275
				-34	61,9175
				-36	45,7867
				-38	33,5692
				-40	24,4742
				-42	17,4992
				-44	12,2108
				-46	8,6525
				-48	6,01083
				-50	4,13917
				-52	3,05833
				-54	2,18917
				-56	1,64583
				-58	1,23833
				-60	1
				-62	0,85
				-64	0,7525
				-66	0,646667
				-68	0,61
				-70	0,5775
				-72	0,5925
				-74	0,643333
				-76	0,565833
				-78	0,575833
				-80	0,5425
				-82	0,515833
				-84	0,585833
				-86	0,5275
				-88	0,585
				-90	0,565
				-92	0,558333
				-94	0,510833
				-96	0,566667
				-98	0,563333
				-100	0,595
				-102	0,56
				-104	0,585833
				-106	0,54
				-108	0,565833
				-110	0,555
				-112	0,573333
				-114	0,536667
				-116	0,553333
				-118	0,541667
				-120	0,553333
				-122	0,539167
				-124	0,550833
				-126	0,514167
				-128	0,569167
				-130	0,525833
				-132	0,5425
				-134	0,564167
				-136	0,575
				-138	0,584167
				-140	0,556667
				-142	0,543333
				-144	0,610833
				-146	0,555833
				-148	0,5775
				-150	0,583333
