Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	125,859			-24	113,803
				-26	102,281
				-28	91,1208
				-30	84,8208
				-32	78,7975
				-34	73,6025
				-36	70,0108
				-38	67,525
				-40	66,4508
				-42	64,8625
				-44	64,0708
				-46	63,4433
				-48	62,8683
				-50	62,8292
				-52	62,4658
				-54	61,9967
				-56	61,8083
				-58	61,6325
				-60	61,6958
				-62	61,17
				-64	61,445
				-66	61,3308
				-68	60,92
				-70	61,1233
				-72	60,625
				-74	60,2283
				-76	59,8275
				-78	60,215
				-80	60,04
				-82	59,4325
				-84	59,5308
				-86	58,86
				-88	58,7233
				-90	58,7658
				-92	57,7842
				-94	57,465
				-96	56,9392
				-98	56,93
				-100	56,3992
				-102	55,9342
				-104	55,6008
				-106	54,8392
				-108	54,7733
				-110	54,0192
				-112	53,7167
				-114	52,9817
				-116	52,38
				-118	51,9067
				-120	51,0275
				-122	50,5833
				-124	50,39
				-126	48,9358
				-128	48,5842
				-130	47,5192
				-132	46,905
				-134	45,9125
				-136	45,0017
				-138	44,2667
				-140	43,4108
				-142	42,4975
				-144	41,3758
				-146	40,4967
				-148	39,4775
				-150	38,3708
