Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	155,557			-24	140,601
				-26	119,873
				-28	104,325
				-30	88,245
				-32	73,11
				-34	60,975
				-36	49,5233
				-38	41,0533
				-40	34,2283
				-42	29,2383
				-44	25,2542
				-46	22,2558
				-48	19,6908
				-50	18,015
				-52	16,325
				-54	15,2492
				-56	14,5208
				-58	13,895
				-60	13,445
				-62	13,1383
				-64	12,7375
				-66	12,6417
				-68	12,3567
				-70	12,3492
				-72	12,3508
				-74	12,3733
				-76	12,3292
				-78	12,2717
				-80	12,0167
				-82	12,2825
				-84	12,1108
				-86	12,2075
				-88	12,0867
				-90	12,2517
				-92	12,2392
				-94	12,1767
				-96	12,2475
				-98	12,2433
				-100	12,4125
				-102	12,3858
				-104	12,1442
				-106	12,2792
				-108	12,155
				-110	11,9808
				-112	12,1167
				-114	11,9242
				-116	12,1342
				-118	12,265
				-120	12,105
				-122	12,025
				-124	12,1192
				-126	12,1867
				-128	12,2083
				-130	12,1333
				-132	11,9633
				-134	11,97
				-136	12,0317
				-138	11,8767
				-140	12,0492
				-142	11,9117
				-144	12,085
				-146	11,8825
				-148	11,845
				-150	11,7817
