Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	86,8033			-24	76,9475
				-26	68,6325
				-28	62,3242
				-30	57,0008
				-32	52,9608
				-34	49,8767
				-36	48,0517
				-38	45,8358
				-40	44,3575
				-42	43,3717
				-44	41,9942
				-46	41,22
				-48	40,4067
				-50	39,7167
				-52	39,3667
				-54	38,6167
				-56	38,1192
				-58	37,565
				-60	37,93
				-62	36,9075
				-64	36,6108
				-66	36,3242
				-68	36,4917
				-70	35,9058
				-72	35,6033
				-74	35,06
				-76	34,91
				-78	34,24
				-80	33,9817
				-82	33,31
				-84	32,9842
				-86	32,01
				-88	31,3358
				-90	30,1558
				-92	29,8692
				-94	28,3358
				-96	26,9008
				-98	25,7792
				-100	24,3275
				-102	22,5167
				-104	21,4633
				-106	19,9658
				-108	18,3192
				-110	16,5117
				-112	15,0358
				-114	13,5592
				-116	11,8258
				-118	10,42
				-120	9,045
				-122	7,70333
				-124	6,71333
				-126	5,5575
				-128	4,375
				-130	3,65083
				-132	2,86917
				-134	2,26667
				-136	1,76667
				-138	1,315
				-140	1,03667
				-142	0,756667
				-144	0,530833
				-146	0,378333
				-148	0,27
				-150	0,216667
