Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	102,571			-24	85,2558
				-26	69,6433
				-28	56,2442
				-30	45,6675
				-32	37,3867
				-34	30,7308
				-36	26,0458
				-38	22,4875
				-40	19,6333
				-42	17,4692
				-44	16,1583
				-46	14,7842
				-48	13,9117
				-50	13,1475
				-52	12,6817
				-54	12,1067
				-56	12,0542
				-58	11,6467
				-60	11,435
				-62	11,0842
				-64	11,1342
				-66	10,69
				-68	10,6425
				-70	10,6458
				-72	10,3567
				-74	10,32
				-76	10,24
				-78	9,9
				-80	9,88667
				-82	9,875
				-84	9,87167
				-86	9,8025
				-88	9,66833
				-90	9,61917
				-92	9,5475
				-94	9,49333
				-96	9,43833
				-98	9,43333
				-100	9,34333
				-102	9,35083
				-104	9,20083
				-106	9,32583
				-108	9,50833
				-110	9,19
				-112	9,14917
				-114	9,05417
				-116	9,19583
				-118	9,13583
				-120	8,945
				-122	9,0375
				-124	9,01
				-126	8,9975
				-128	9,11167
				-130	8,935
				-132	8,86167
				-134	8,93333
				-136	8,91333
				-138	8,70333
				-140	8,77417
				-142	8,59667
				-144	8,55917
				-146	8,49667
				-148	8,4225
				-150	8,32083
