Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	93,9667			-24	83,9792
				-26	73,755
				-28	65,2917
				-30	59,4717
				-32	55,2358
				-34	52,115
				-36	49,3592
				-38	46,9458
				-40	45,1992
				-42	43,6208
				-44	42,6608
				-46	42,0567
				-48	40,6042
				-50	39,8925
				-52	39,3392
				-54	38,8308
				-56	38,415
				-58	38,1417
				-60	37,5733
				-62	37,155
				-64	36,5808
				-66	36,5558
				-68	36,23
				-70	35,8925
				-72	35,7867
				-74	35,4242
				-76	34,9367
				-78	34,5892
				-80	33,6433
				-82	33,3367
				-84	32,45
				-86	32,1175
				-88	31,1558
				-90	30,1625
				-92	29,295
				-94	27,9942
				-96	26,9775
				-98	25,5225
				-100	24,1617
				-102	22,7225
				-104	21,1458
				-106	19,4875
				-108	18,0808
				-110	16,3508
				-112	14,865
				-114	13,2933
				-116	11,6075
				-118	10,2342
				-120	8,76667
				-122	7,3725
				-124	6,33917
				-126	5,295
				-128	4,3125
				-130	3,62917
				-132	2,7075
				-134	2,14583
				-136	1,66833
				-138	1,2875
				-140	0,979167
				-142	0,72
				-144	0,4975
				-146	0,3825
				-148	0,281667
				-150	0,2075
