Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	88,3075			-24	73,2525
				-26	59,4875
				-28	47,6717
				-30	38,5342
				-32	31,3792
				-34	26,59
				-36	22,5567
				-38	19,5483
				-40	17,5042
				-42	15,9758
				-44	15,0317
				-46	13,8892
				-48	13,2875
				-50	12,7892
				-52	12,3708
				-54	11,9042
				-56	11,6958
				-58	11,545
				-60	11,2392
				-62	11,1925
				-64	10,9842
				-66	10,9258
				-68	10,6758
				-70	10,5875
				-72	10,3542
				-74	10,27
				-76	10,2375
				-78	10,1542
				-80	10,015
				-82	9,915
				-84	9,99583
				-86	9,73
				-88	9,57083
				-90	9,655
				-92	9,62833
				-94	9,54417
				-96	9,5075
				-98	9,32083
				-100	9,41667
				-102	9,4475
				-104	9,19583
				-106	9,3225
				-108	9,37917
				-110	9,25417
				-112	9,405
				-114	9,14583
				-116	9,27833
				-118	8,99167
				-120	9,2075
				-122	9,015
				-124	9,02833
				-126	9,0725
				-128	8,90417
				-130	8,90833
				-132	8,955
				-134	8,84417
				-136	8,7425
				-138	8,77083
				-140	8,76083
				-142	8,69167
				-144	8,62167
				-146	8,5875
				-148	8,45167
				-150	8,51917
