Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	228,875			-24	198,893
				-26	170,168
				-28	140,962
				-30	114,052
				-32	90,4408
				-34	71,3542
				-36	54,4867
				-38	41,5358
				-40	31,3467
				-42	23,0433
				-44	16,8117
				-46	12,48
				-48	9,01083
				-50	6,54
				-52	4,67667
				-54	3,41417
				-56	2,59583
				-58	1,90667
				-60	1,4325
				-62	1,13417
				-64	0,904167
				-66	0,71
				-68	0,599167
				-70	0,545833
				-72	0,523333
				-74	0,445833
				-76	0,370833
				-78	0,384167
				-80	0,365833
				-82	0,339167
				-84	0,346667
				-86	0,280833
				-88	0,301667
				-90	0,286667
				-92	0,285
				-94	0,3125
				-96	0,2975
				-98	0,285833
				-100	0,269167
				-102	0,274167
				-104	0,305
				-106	0,2825
				-108	0,2975
				-110	0,278333
				-112	0,279167
				-114	0,281667
				-116	0,260833
				-118	0,275
				-120	0,2575
				-122	0,273333
				-124	0,2825
				-126	0,284167
				-128	0,275
				-130	0,273333
				-132	0,2875
				-134	0,31
				-136	0,264167
				-138	0,29
				-140	0,269167
				-142	0,269167
				-144	0,273333
				-146	0,275833
				-148	0,241667
				-150	0,253333
