Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	79,7633			-24	69,1375
				-26	59,6392
				-28	51,5217
				-30	44,4367
				-32	38,26
				-34	33,77
				-36	29,6025
				-38	26,1717
				-40	23,8383
				-42	21,495
				-44	21,5258
				-46	19,6817
				-48	17,7267
				-50	16,415
				-52	15,3308
				-54	14,1792
				-56	12,8225
				-58	11,8675
				-60	11,2092
				-62	10,4225
				-64	9,92917
				-66	9,66083
				-68	9,335
				-70	9,06417
				-72	8,70083
				-74	8,71583
				-76	8,4925
				-78	8,23333
				-80	8,1925
				-82	8,05917
				-84	8,055
				-86	7,8675
				-88	7,99083
				-90	7,94083
				-92	7,76083
				-94	7,73083
				-96	7,8025
				-98	7,66417
				-100	7,70167
				-102	7,5325
				-104	7,56
				-106	7,5275
				-108	7,59667
				-110	7,48167
				-112	7,60333
				-114	7,55167
				-116	7,555
				-118	7,4475
				-120	7,47
				-122	7,36667
				-124	7,4175
				-126	7,4525
				-128	7,35333
				-130	7,2725
				-132	7,40167
				-134	7,31583
				-136	7,355
				-138	7,2525
				-140	7,12167
				-142	7,23833
				-144	7,03333
				-146	7,06917
				-148	6,88167
				-150	6,79167
