Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	468,485			-24	414,605
				-26	359,388
				-28	307,214
				-30	258,161
				-32	214,242
				-34	173,549
				-36	140,548
				-38	111,306
				-40	86,8042
				-42	66,8983
				-44	50,6975
				-46	38,7342
				-48	28,6817
				-50	21,1625
				-52	15,5708
				-54	11,2867
				-56	8,16167
				-58	5,8875
				-60	4,35833
				-62	2,94667
				-64	2,18417
				-66	1,65417
				-68	1,23917
				-70	0,958333
				-72	0,825
				-74	0,588333
				-76	0,498333
				-78	0,460833
				-80	0,385833
				-82	0,356667
				-84	0,343333
				-86	0,315
				-88	0,324167
				-90	0,329167
				-92	0,274167
				-94	0,264167
				-96	0,29
				-98	0,295
				-100	0,273333
				-102	0,279167
				-104	0,315833
				-106	0,300833
				-108	0,299167
				-110	0,286667
				-112	0,264167
				-114	0,255833
				-116	0,2775
				-118	0,285833
				-120	0,254167
				-122	0,263333
				-124	0,303333
				-126	0,261667
				-128	0,300833
				-130	0,278333
				-132	0,270833
				-134	0,271667
				-136	0,274167
				-138	0,290833
				-140	0,2675
				-142	0,279167
				-144	0,268333
				-146	0,255833
				-148	0,2675
				-150	0,26
