Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	86,2133			-24	74,1592
				-26	64,1817
				-28	55,0533
				-30	47,8025
				-32	41,23
				-34	36,0775
				-36	31,8283
				-38	28,2767
				-40	24,88
				-42	22,86
				-44	20,1525
				-46	18,5475
				-48	17,0892
				-50	15,8292
				-52	14,5408
				-54	13,8775
				-56	12,5408
				-58	11,7342
				-60	11,0658
				-62	10,4042
				-64	9,98583
				-66	9,73333
				-68	9,17
				-70	8,88
				-72	8,76
				-74	8,65
				-76	8,4225
				-78	8,2925
				-80	8,185
				-82	7,97667
				-84	8,0475
				-86	7,84667
				-88	7,8375
				-90	7,71583
				-92	7,87333
				-94	7,91583
				-96	7,96333
				-98	7,5925
				-100	7,62833
				-102	7,7025
				-104	7,50333
				-106	7,66917
				-108	7,515
				-110	7,58
				-112	7,67167
				-114	7,57833
				-116	7,51833
				-118	7,44
				-120	7,47583
				-122	7,51333
				-124	7,48833
				-126	7,55667
				-128	7,28917
				-130	7,41917
				-132	7,28083
				-134	7,27583
				-136	7,3025
				-138	7,37917
				-140	7,3775
				-142	7,09
				-144	7,005
				-146	6,96833
				-148	6,84917
				-150	6,81417
