Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	131,824			-24	123,552
				-26	114,999
				-28	106,476
				-30	98,9517
				-32	92,5642
				-34	86,4108
				-36	81,4167
				-38	76,4333
				-40	72,5633
				-42	69,4133
				-44	65,7717
				-46	63,8892
				-48	62,2033
				-50	60,1608
				-52	59,2125
				-54	57,2842
				-56	56,4683
				-58	55,5492
				-60	54,85
				-62	54,1233
				-64	54
				-66	53,0017
				-68	52,6383
				-70	52,4108
				-72	52,3133
				-74	52,0608
				-76	51,7392
				-78	51,5208
				-80	51,1483
				-82	50,9458
				-84	50,49
				-86	50,4842
				-88	50,1742
				-90	49,8708
				-92	49,4042
				-94	49,3175
				-96	48,8375
				-98	48,0567
				-100	47,8275
				-102	47,5458
				-104	46,5467
				-106	46,3725
				-108	45,3633
				-110	45,0483
				-112	44,2875
				-114	44,1633
				-116	42,7517
				-118	42,6425
				-120	41,9117
				-122	40,9617
				-124	40,1783
				-126	39,37
				-128	38,5275
				-130	37,6625
				-132	36,7917
				-134	35,9117
				-136	35,2475
				-138	34,4625
				-140	33,6067
				-142	33,0125
				-144	31,9925
				-146	31,2883
				-148	30,4017
				-150	29,4417
