Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	126,774			-24	119,382
				-26	110,677
				-28	102,636
				-30	96,1058
				-32	89,9075
				-34	83,8517
				-36	78,3242
				-38	74,7725
				-40	70,7442
				-42	67,6292
				-44	65,2867
				-46	62,2758
				-48	61,0167
				-50	59,6917
				-52	57,7467
				-54	56,4083
				-56	56,0533
				-58	54,8708
				-60	54,3242
				-62	53,7542
				-64	53,9033
				-66	53,0083
				-68	52,8117
				-70	52,6125
				-72	51,9933
				-74	51,8475
				-76	51,7692
				-78	51,3992
				-80	51,185
				-82	50,8708
				-84	50,7042
				-86	50,1983
				-88	49,7167
				-90	49,9025
				-92	49,6258
				-94	48,9442
				-96	48,8975
				-98	48,3725
				-100	47,805
				-102	47,3083
				-104	46,8367
				-106	46,5217
				-108	45,9283
				-110	45,3367
				-112	44,315
				-114	43,655
				-116	43,1042
				-118	42,5117
				-120	41,5925
				-122	40,9292
				-124	40,2383
				-126	39,215
				-128	38,8117
				-130	37,8842
				-132	36,9225
				-134	36,3175
				-136	35,1858
				-138	34,7142
				-140	33,785
				-142	33,035
				-144	32,2517
				-146	31,4567
				-148	30,5042
				-150	29,8017
